variant,run,hv,hf_calls,picp90,ntr,violation_rate
w/o material adapter,8,0.8288088666517588,67,0.8776040766007239,0.5,0.06423275936680636
w/o material adapter,9,0.8045636586191217,66,0.8753400680801082,0.5,0.06826701175923683
w/o material adapter,10,0.8248152792669374,71,0.8579447276673977,0.5,0.06850320991996535
w/o material adapter,11,0.8061288424007012,68,0.8844727708461732,0.5,0.06173249435521908
w/o material adapter,12,0.8058250078225332,70,0.8941042308309871,0.5,0.06450338246882505
w/o material adapter,13,0.8157893709509191,65,0.8760208749409937,0.5,0.0697818807170694
w/o material adapter,14,0.817197620934557,64,0.8727555675058761,0.5,0.07300312216377468
w/o material adapter,15,0.8161334418484301,71,0.8942422186360908,0.5,0.06051227751225303
w/o field operator,1,0.8156078128500208,70,0.892054953822692,0.167,0.08341112071816227
w/o field operator,2,0.8389921717222272,63,0.9053754525331339,0.167,0.07367433719922802
w/o field operator,3,0.8396381871259126,64,0.9054299415798877,0.167,0.08102783490956826
w/o field operator,4,0.8448355581571247,61,0.883834215201391,0.167,0.07332983722557501
w/o field operator,5,0.8492334570579929,67,0.8937389732171639,0.167,0.07197634386268113
w/o field operator,6,0.8228130529887204,62,0.903505931345626,0.167,0.07092294960069809
w/o field operator,7,0.832605959217613,61,0.8941260428432461,0.167,0.06962787174191085
w/o field operator,8,0.8419757310473373,65,0.9006425272296239,0.167,0.07956575682034805
w/o field operator,9,0.840572316451934,64,0.8992860504277148,0.167,0.07501942288084859
w/o field operator,10,0.8317664209327363,65,0.8982768784916957,0.167,0.08359013969622361
w/o field operator,11,0.8356521039910153,62,0.8774092433965508,0.167,0.0904507954167605
w/o field operator,12,0.8434437772926864,66,0.9027585688294674,0.167,0.08218214934759475
w/o field operator,13,0.8318252785046429,62,0.892748773840587,0.167,0.08863106464968278
w/o field operator,14,0.833168068573763,57,0.8811399471035396,0.167,0.09046670284693828
w/o field operator,15,0.8259396863341166,57,0.8889397578410128,0.167,0.08158318660831629
w/o uncertainty calibration,1,0.8449050662878319,59,0.7457803328007713,0.333,0.07725433083555087
w/o uncertainty calibration,2,0.8265193825323915,58,0.7581197522123646,0.333,0.09022261691477369
w/o uncertainty calibration,3,0.8633840780230974,61,0.7354569457838015,0.333,0.08516561431549902
w/o uncertainty calibration,4,0.8647691037573139,60,0.7672257001083084,0.333,0.08267219953766511
w/o uncertainty calibration,5,0.844067293342041,56,0.7755989049895688,0.333,0.07368846060979922
w/o uncertainty calibration,6,0.8376445729711751,65,0.7537499599189635,0.333,0.08724392956005293
w/o uncertainty calibration,7,0.8506574944070276,57,0.7647626592381532,0.333,0.08207802936469112
w/o uncertainty calibration,8,0.8557824310150723,55,0.7545271721162495,0.333,0.0884735415434019
w/o uncertainty calibration,9,0.8535132079648716,67,0.7498098141972103,0.333,0.1010298827719424
w/o uncertainty calibration,10,0.8417225452890215,59,0.7656026136068632,0.333,0.08501807951857183
w/o uncertainty calibration,11,0.8381558239458508,55,0.7632441702554378,0.333,0.08711631856011685
w/o uncertainty calibration,12,0.8295443879035369,60,0.7532261707988883,0.333,0.08093750936127912
w/o uncertainty calibration,13,0.8250472043894393,60,0.7703347640467824,0.333,0.08246209173112466
w/o uncertainty calibration,14,0.8477390203607447,60,0.7588187613682713,0.333,0.076470390451265
w/o uncertainty calibration,15,0.8374718684910816,59,0.7576416272875599,0.333,0.08819980808442507
w/o latent-distance gate,1,0.8532439216178953,58,0.8722788546630165,0.333,0.10495276746997542
w/o latent-distance gate,2,0.8449444055277004,60,0.8277596873946991,0.333,0.10508001940091322
w/o latent-distance gate,3,0.8423805271618103,61,0.8463850309036326,0.333,0.09640526286251205
w/o latent-distance gate,4,0.8286172483073901,56,0.8376070723010803,0.333,0.1004814532384162
w/o latent-distance gate,5,0.8297681872597564,61,0.8446910699380914,0.333,0.09737919433531307
w/o latent-distance gate,6,0.8472207564445413,56,0.8376130532241586,0.333,0.09697128603931797
w/o latent-distance gate,7,0.8341110820430216,60,0.8496711241664678,0.333,0.10995262429891896
w/o latent-distance gate,8,0.8338466725434208,60,0.8391881522930025,0.333,0.09233203197895434
w/o latent-distance gate,9,0.8520402540454204,58,0.8399720900332879,0.333,0.09663941302400915
w/o latent-distance gate,10,0.8226098000470975,61,0.8482719214832927,0.333,0.1174549597709381
w/o latent-distance gate,11,0.8505129300789513,54,0.8441563217952923,0.333,0.10147830112948976
w/o latent-distance gate,12,0.8401916627007887,66,0.8352533831350759,0.333,0.10267238765362342
w/o latent-distance gate,13,0.8600299122243935,57,0.8341653303712256,0.333,0.0940874233593871
w/o latent-distance gate,14,0.8532830960820958,58,0.8334693140427897,0.333,0.10726724610889124
w/o latent-distance gate,15,0.8431536849068626,59,0.8561292067455762,0.333,0.10458895135821843
w/o forced HF escalation,1,0.8563203560041721,56,0.8960952007615559,0.333,0.1327926918382324
w/o forced HF escalation,2,0.8594784214929739,49,0.88832833462263,0.333,0.13632525923224537
w/o forced HF escalation,3,0.8638394568010621,44,0.8888837192820935,0.333,0.11581317555956198
w/o forced HF escalation,4,0.8364014660957798,51,0.8883123639511077,0.333,0.1294633967393781
w/o forced HF escalation,5,0.8308637100348708,46,0.8831292290329003,0.333,0.12938871833833016
w/o forced HF escalation,6,0.8410534547587077,49,0.9030094743679664,0.333,0.12392384063512624
w/o forced HF escalation,7,0.8312861667393852,52,0.8680669948012101,0.333,0.12738224917736735
w/o forced HF escalation,8,0.8583244311064604,49,0.8783576155030075,0.333,0.12764561843821598
w/o forced HF escalation,9,0.8664528345238514,50,0.8867644641440203,0.333,0.134047982528507
w/o forced HF escalation,10,0.8567055464187833,45,0.8707582139689101,0.333,0.12942885948411306
w/o forced HF escalation,11,0.8467400405566463,51,0.8741506474334347,0.333,0.12851980100450794
w/o forced HF escalation,12,0.8406729244191851,52,0.8683904916665591,0.333,0.12962906058432053
w/o forced HF escalation,13,0.8411007529184843,45,0.8685388093563948,0.333,0.12066837482689641
w/o forced HF escalation,14,0.843463499090687,50,0.8883995110963832,0.333,0.12904995413949275
w/o forced HF escalation,15,0.8436368824913367,50,0.8836717139127714,0.333,0.12463583052617007
w/o cross-material pretrain,1,0.806563163753014,79,0.8788534659758653,0.0,0.06768165885245217
w/o cross-material pretrain,2,0.8300668329814652,79,0.9232246615062942,0.0,0.07089830345955642
w/o cross-material pretrain,3,0.8124699721868449,81,0.9154551357937812,0.0,0.07273340296847346
w/o cross-material pretrain,4,0.8236566375368195,81,0.8858852590396699,0.0,0.07688745947326239
w/o cross-material pretrain,5,0.8249275019039533,84,0.8979052197279446,0.0,0.07184646081245767
w/o cross-material pretrain,6,0.8066318246193803,79,0.8814954006552016,0.0,0.05581467919312971
w/o cross-material pretrain,7,0.8248539525447626,85,0.8854891224949253,0.0,0.06020501045049661
w/o cross-material pretrain,8,0.816044461913019,77,0.8634735441241083,0.0,0.06410911620983781
w/o cross-material pretrain,9,0.8039538089146714,79,0.8861454868377906,0.0,0.08090247911298454
w/o cross-material pretrain,10,0.8061271179557162,80,0.8817696235841821,0.0,0.0677059347284554
w/o cross-material pretrain,11,0.82621631282373,75,0.9032219563965656,0.0,0.07405540091750594
w/o cross-material pretrain,12,0.8083329245262705,81,0.8695602406006949,0.0,0.06037336041200984
w/o cross-material pretrain,13,0.8058242083214197,82,0.8802236804110801,0.0,0.0693610151733765
w/o cross-material pretrain,14,0.8121855202332459,76,0.8905131869469447,0.0,0.07199890920017614
w/o cross-material pretrain,15,0.8188827014899849,82,0.8944075305931073,0.0,0.06617265382396995
