material,method,hf_shots,run,relative_error
LCE,Direct fine-tuning,20,10,0.1590568288623828
LCE,Direct fine-tuning,20,11,0.16519631479515418
LCE,Direct fine-tuning,20,12,0.16220845006206022
LCE,Direct fine-tuning,20,13,0.17137628212899653
LCE,Direct fine-tuning,20,14,0.15902044775642823
LCE,Direct fine-tuning,20,15,0.15506450534193741
LCE,Shared backbone,0,1,0.2774772831382774
LCE,Shared backbone,0,2,0.2549000948025945
LCE,Shared backbone,0,3,0.2699019405556136
LCE,Shared backbone,0,4,0.2438277317012837
LCE,Shared backbone,0,5,0.272151789176203
LCE,Shared backbone,0,6,0.2553954283533357
LCE,Shared backbone,0,7,0.2578387049952535
LCE,Shared backbone,0,8,0.23728782510301985
LCE,Shared backbone,0,9,0.26352568694467965
LCE,Shared backbone,0,10,0.2844160222077969
LCE,Shared backbone,0,11,0.2832210021188949
LCE,Shared backbone,0,12,0.31138477978096385
LCE,Shared backbone,0,13,0.24466567665723712
LCE,Shared backbone,0,14,0.26948028527131296
LCE,Shared backbone,0,15,0.2644451318047912
LCE,Shared backbone,5,1,0.21702291663692924
LCE,Shared backbone,5,2,0.20880329016212754
LCE,Shared backbone,5,3,0.21120176159638082
LCE,Shared backbone,5,4,0.2110623764923498
LCE,Shared backbone,5,5,0.19714032458074895
LCE,Shared backbone,5,6,0.19664568630463744
LCE,Shared backbone,5,7,0.2107072848428762
LCE,Shared backbone,5,8,0.20808594417068843
LCE,Shared backbone,5,9,0.20368700623945463
LCE,Shared backbone,5,10,0.20929691789953977
LCE,Shared backbone,5,11,0.20473461835401147
LCE,Shared backbone,5,12,0.19900421073428237
LCE,Shared backbone,5,13,0.19880923835568878
LCE,Shared backbone,5,14,0.18962004830094928
LCE,Shared backbone,5,15,0.2020380510547077
LCE,Shared backbone,10,1,0.161426006520364
LCE,Shared backbone,10,2,0.16448180533643608
LCE,Shared backbone,10,3,0.15884987134591338
LCE,Shared backbone,10,4,0.1576785014002525
LCE,Shared backbone,10,5,0.17054214089942718
LCE,Shared backbone,10,6,0.1631394700143355
LCE,Shared backbone,10,7,0.1769795680389857
LCE,Shared backbone,10,8,0.15705681297436833
LCE,Shared backbone,10,9,0.16039341602534213
LCE,Shared backbone,10,10,0.16924130603640788
LCE,Shared backbone,10,11,0.1613310510643941
LCE,Shared backbone,10,12,0.1745022352066523
LCE,Shared backbone,10,13,0.15638871693524076
LCE,Shared backbone,10,14,0.17351101107017505
LCE,Shared backbone,10,15,0.1523641649373154
LCE,Shared backbone,20,1,0.13040419343267598
LCE,Shared backbone,20,2,0.13611761050840424
LCE,Shared backbone,20,3,0.13189750887975663
LCE,Shared backbone,20,4,0.13132640842425503
LCE,Shared backbone,20,5,0.11734268329251275
LCE,Shared backbone,20,6,0.11998156653023723
LCE,Shared backbone,20,7,0.1450067824435045
LCE,Shared backbone,20,8,0.12024887251676797
LCE,Shared backbone,20,9,0.12457275673930394
LCE,Shared backbone,20,10,0.1271938859718973
LCE,Shared backbone,20,11,0.11641093942740227
LCE,Shared backbone,20,12,0.1405008953001176
LCE,Shared backbone,20,13,0.1306971843544852
LCE,Shared backbone,20,14,0.1396820465156087
LCE,Shared backbone,20,15,0.13845233183880196
LCE,Proposed + gate,0,1,0.22090112718799798
LCE,Proposed + gate,0,2,0.2425646494956381
LCE,Proposed + gate,0,3,0.22490339165463594
LCE,Proposed + gate,0,4,0.21979494852278023
LCE,Proposed + gate,0,5,0.22435474282778956
LCE,Proposed + gate,0,6,0.21307856081594273
LCE,Proposed + gate,0,7,0.2323164015300779
LCE,Proposed + gate,0,8,0.21082971757938562
LCE,Proposed + gate,0,9,0.22403315138527793
LCE,Proposed + gate,0,10,0.22538553072852766
LCE,Proposed + gate,0,11,0.24189702870136054
LCE,Proposed + gate,0,12,0.23687404995846864
LCE,Proposed + gate,0,13,0.19844132100356107
LCE,Proposed + gate,0,14,0.2491900291339443
LCE,Proposed + gate,0,15,0.20580124399203154
LCE,Proposed + gate,5,1,0.1884052379121183
LCE,Proposed + gate,5,2,0.1571734082248686
LCE,Proposed + gate,5,3,0.17249087863264306
LCE,Proposed + gate,5,4,0.15877311265424973
LCE,Proposed + gate,5,5,0.18573703249721152
LCE,Proposed + gate,5,6,0.17324847299144772
LCE,Proposed + gate,5,7,0.17345627947594575
LCE,Proposed + gate,5,8,0.17707780227308428
LCE,Proposed + gate,5,9,0.16598419321481367
LCE,Proposed + gate,5,10,0.17366410117316233
LCE,Proposed + gate,5,11,0.17084311387947307
LCE,Proposed + gate,5,12,0.17890544847812026
LCE,Proposed + gate,5,13,0.1806380941368803
LCE,Proposed + gate,5,14,0.17020761202527848
LCE,Proposed + gate,5,15,0.16846330809114976
LCE,Proposed + gate,10,1,0.13029349688721387
LCE,Proposed + gate,10,2,0.1295605354707303
LCE,Proposed + gate,10,3,0.13414401954414706
LCE,Proposed + gate,10,4,0.13778502380868735
LCE,Proposed + gate,10,5,0.13378187154222204
LCE,Proposed + gate,10,6,0.13590548242634687
LCE,Proposed + gate,10,7,0.15021329461664445
LCE,Proposed + gate,10,8,0.14295031663286337
LCE,Proposed + gate,10,9,0.14740241356854844
LCE,Proposed + gate,10,10,0.13332540547575766
LCE,Proposed + gate,10,11,0.1321249140408327
LCE,Proposed + gate,10,12,0.13678701784793992
LCE,Proposed + gate,10,13,0.1301336301329463
LCE,Proposed + gate,10,14,0.1512017479602779
LCE,Proposed + gate,10,15,0.1546582657796922
LCE,Proposed + gate,20,1,0.10041352467096006
LCE,Proposed + gate,20,2,0.10688323635533754
LCE,Proposed + gate,20,3,0.09270316678138724
LCE,Proposed + gate,20,4,0.10204159293730872
LCE,Proposed + gate,20,5,0.11198756763248688
LCE,Proposed + gate,20,6,0.12259212041544461
LCE,Proposed + gate,20,7,0.10134310517019547
LCE,Proposed + gate,20,8,0.10175511009642348
LCE,Proposed + gate,20,9,0.11915067875303317
LCE,Proposed + gate,20,10,0.09475524843675821
LCE,Proposed + gate,20,11,0.0997787587557263
LCE,Proposed + gate,20,12,0.11821336075205137
LCE,Proposed + gate,20,13,0.10497225948343562
LCE,Proposed + gate,20,14,0.10541536363710237
LCE,Proposed + gate,20,15,0.10549581757399298
SMP,From scratch,0,1,0.3605800410460295
SMP,From scratch,0,2,0.38245978194118774
SMP,From scratch,0,3,0.36329655062469146
SMP,From scratch,0,4,0.3688985762819656
SMP,From scratch,0,5,0.3881581282517174
SMP,From scratch,0,6,0.3746424877346938
SMP,From scratch,0,7,0.365586885314116
SMP,From scratch,0,8,0.3946870001686122
SMP,From scratch,0,9,0.3668556816984191
SMP,From scratch,0,10,0.38157704372834284
SMP,From scratch,0,11,0.3507913034278526
SMP,From scratch,0,12,0.36097989497596056
SMP,From scratch,0,13,0.3866770477872
SMP,From scratch,0,14,0.33307016964074126
SMP,From scratch,0,15,0.34924319666210435
SMP,From scratch,5,1,0.3033104747932801
SMP,From scratch,5,2,0.306444237737819
SMP,From scratch,5,3,0.31158293361717215
SMP,From scratch,5,4,0.3009883240441298
SMP,From scratch,5,5,0.2978498123590442
SMP,From scratch,5,6,0.2909622083743034
SMP,From scratch,5,7,0.3130295153162743
SMP,From scratch,5,8,0.3127699025658649
SMP,From scratch,5,9,0.29611121469745816
SMP,From scratch,5,10,0.30456972820010364
SMP,From scratch,5,11,0.30372544743060337
SMP,From scratch,5,12,0.3183940245890721
SMP,From scratch,5,13,0.2946540610401695
SMP,From scratch,5,14,0.2998466450052787
SMP,From scratch,5,15,0.3028874834698332
SMP,From scratch,10,1,0.2472637677825906
SMP,From scratch,10,2,0.26167086935441497
SMP,From scratch,10,3,0.24982300673223926
SMP,From scratch,10,4,0.25537922833337123
SMP,From scratch,10,5,0.2588948264993256
SMP,From scratch,10,6,0.2572171990966382
SMP,From scratch,10,7,0.2463775055376391
SMP,From scratch,10,8,0.2415460277594941
SMP,From scratch,10,9,0.24206216402330574
SMP,From scratch,10,10,0.2504979726172561
SMP,From scratch,10,11,0.2734689581141055
SMP,From scratch,10,12,0.24566962191340883
SMP,From scratch,10,13,0.23436903134072212
SMP,From scratch,10,14,0.24411041667474503
SMP,From scratch,10,15,0.24543507088318617
SMP,From scratch,20,1,0.19844087679151548
SMP,From scratch,20,2,0.1932206145038439
SMP,From scratch,20,3,0.16640969310041898
SMP,From scratch,20,4,0.1830533840546264
SMP,From scratch,20,5,0.2048268247582375
SMP,From scratch,20,6,0.20248416262440583
SMP,From scratch,20,7,0.1863238311680452
SMP,From scratch,20,8,0.18182379004413796
SMP,From scratch,20,9,0.20325956525086641
SMP,From scratch,20,10,0.2020672765954512
SMP,From scratch,20,11,0.2093009745108435
SMP,From scratch,20,12,0.18674204409750692
SMP,From scratch,20,13,0.1984880611586035
SMP,From scratch,20,14,0.18113992361253167
SMP,From scratch,20,15,0.19422121636766487
SMP,Direct fine-tuning,0,1,0.2981950122512043
SMP,Direct fine-tuning,0,2,0.32311815859882315
SMP,Direct fine-tuning,0,3,0.32576038826175746
SMP,Direct fine-tuning,0,4,0.29538398628039425
SMP,Direct fine-tuning,0,5,0.297616701296652
SMP,Direct fine-tuning,0,6,0.31829087362370634
SMP,Direct fine-tuning,0,7,0.30099524598079336
SMP,Direct fine-tuning,0,8,0.33497716074184547
SMP,Direct fine-tuning,0,9,0.31109597397230343
SMP,Direct fine-tuning,0,10,0.2997723308984203
SMP,Direct fine-tuning,0,11,0.26684908370778504
SMP,Direct fine-tuning,0,12,0.32565448973341143
SMP,Direct fine-tuning,0,13,0.33922980271064146
SMP,Direct fine-tuning,0,14,0.30183724266085554
SMP,Direct fine-tuning,0,15,0.30713124441683337
SMP,Direct fine-tuning,5,1,0.23597430187636442
SMP,Direct fine-tuning,5,2,0.23659374232350863
SMP,Direct fine-tuning,5,3,0.25348297536950615
SMP,Direct fine-tuning,5,4,0.23940317137296535
SMP,Direct fine-tuning,5,5,0.24080245466235523
SMP,Direct fine-tuning,5,6,0.23523601068667827
SMP,Direct fine-tuning,5,7,0.25624267525241734
SMP,Direct fine-tuning,5,8,0.23750068754060918
SMP,Direct fine-tuning,5,9,0.248743286537143
SMP,Direct fine-tuning,5,10,0.23580552201936736
SMP,Direct fine-tuning,5,11,0.24165892279170342
SMP,Direct fine-tuning,5,12,0.2433763616809192
SMP,Direct fine-tuning,5,13,0.2391641277800986
SMP,Direct fine-tuning,5,14,0.23723858662767028
SMP,Direct fine-tuning,5,15,0.235445389813905
SMP,Direct fine-tuning,10,1,0.19274427686362144
SMP,Direct fine-tuning,10,2,0.19298691594865075
SMP,Direct fine-tuning,10,3,0.19229462163561625
SMP,Direct fine-tuning,10,4,0.20883600763335589
SMP,Direct fine-tuning,10,5,0.19005918151758644
SMP,Direct fine-tuning,10,6,0.1890687537381917
SMP,Direct fine-tuning,10,7,0.19813491781063863
SMP,Direct fine-tuning,10,8,0.19576584182865858
SMP,Direct fine-tuning,10,9,0.20119658451261174
SMP,Direct fine-tuning,10,10,0.20620715679305207
SMP,Direct fine-tuning,10,11,0.1861226507223358
SMP,Direct fine-tuning,10,12,0.18960502585251393
SMP,Direct fine-tuning,10,13,0.18623388626357926
SMP,Direct fine-tuning,10,14,0.17977581631474576
SMP,Direct fine-tuning,10,15,0.18760693040101398
SMP,Direct fine-tuning,20,1,0.16498641261852165
SMP,Direct fine-tuning,20,2,0.15653044492387166
SMP,Direct fine-tuning,20,3,0.14180427401873974
SMP,Direct fine-tuning,20,4,0.1566330885550753
SMP,Direct fine-tuning,20,5,0.15987624719297355
SMP,Direct fine-tuning,20,6,0.14604075072258407
SMP,Direct fine-tuning,20,7,0.15445062170561413
SMP,Direct fine-tuning,20,8,0.1414491171938986
SMP,Direct fine-tuning,20,9,0.16300344534810335
SMP,Direct fine-tuning,20,10,0.1570380275930158
SMP,Direct fine-tuning,20,11,0.14644773935228908
SMP,Direct fine-tuning,20,12,0.14619481280414465
SMP,Direct fine-tuning,20,13,0.15605826008133258
SMP,Direct fine-tuning,20,14,0.15098435022381176
SMP,Direct fine-tuning,20,15,0.1591402257123841
SMP,Shared backbone,0,1,0.248776335551573
SMP,Shared backbone,0,2,0.23772659917111869
SMP,Shared backbone,0,3,0.24115862573423397
SMP,Shared backbone,0,4,0.2200631084260237
SMP,Shared backbone,0,5,0.24981956361432564
SMP,Shared backbone,0,6,0.23644840863429809
SMP,Shared backbone,0,7,0.2588618725555237
SMP,Shared backbone,0,8,0.28324683027054204
SMP,Shared backbone,0,9,0.24277091109620422
SMP,Shared backbone,0,10,0.22549449585155149
SMP,Shared backbone,0,11,0.2547967068832852
SMP,Shared backbone,0,12,0.2344128975831787
SMP,Shared backbone,0,13,0.2623442447897942
SMP,Shared backbone,0,14,0.25511569243859517
SMP,Shared backbone,0,15,0.22911766143162818
SMP,Shared backbone,5,1,0.20138374049406801
SMP,Shared backbone,5,2,0.18708860125332533
SMP,Shared backbone,5,3,0.20469327289079073
SMP,Shared backbone,5,4,0.19591134761876194
SMP,Shared backbone,5,5,0.1815393803356609
SMP,Shared backbone,5,6,0.19608238297693367
SMP,Shared backbone,5,7,0.19639605765040719
SMP,Shared backbone,5,8,0.18341520074850595
SMP,Shared backbone,5,9,0.2009613493448089
SMP,Shared backbone,5,10,0.1884854450751728
SMP,Shared backbone,5,11,0.17750199592949842
SMP,Shared backbone,5,12,0.1884272628004437
SMP,Shared backbone,5,13,0.1866329030073958
SMP,Shared backbone,5,14,0.19920054665575826
SMP,Shared backbone,5,15,0.18874712172823455
SMP,Shared backbone,10,1,0.15084802600907699
SMP,Shared backbone,10,2,0.1644751837823266
SMP,Shared backbone,10,3,0.16230117927511156
SMP,Shared backbone,10,4,0.14787973135890484
SMP,Shared backbone,10,5,0.17215691269279415
SMP,Shared backbone,10,6,0.1679557592645961
SMP,Shared backbone,10,7,0.13822218907113634
SMP,Shared backbone,10,8,0.1586164077205325
SMP,Shared backbone,10,9,0.13949125479380206
SMP,Shared backbone,10,10,0.15189939046118187
SMP,Shared backbone,10,11,0.1484284550835931
SMP,Shared backbone,10,12,0.14928160851218392
SMP,Shared backbone,10,13,0.150983664539392
SMP,Shared backbone,10,14,0.14621636107319777
SMP,Shared backbone,10,15,0.1487784044597449
SMP,Shared backbone,20,1,0.11755783603292476
SMP,Shared backbone,20,2,0.11901463877497702
SMP,Shared backbone,20,3,0.10962593337964383
SMP,Shared backbone,20,4,0.12600901928446412
SMP,Shared backbone,20,5,0.12049410398972345
SMP,Shared backbone,20,6,0.12516899118546065
SMP,Shared backbone,20,7,0.1224403156371493
SMP,Shared backbone,20,8,0.11800288227763678
SMP,Shared backbone,20,9,0.12062837049863907
SMP,Shared backbone,20,10,0.13560041045589996
SMP,Shared backbone,20,11,0.1360460282979588
SMP,Shared backbone,20,12,0.11761869598100418
SMP,Shared backbone,20,13,0.12500116122938373
SMP,Shared backbone,20,14,0.1146590890026793
SMP,Shared backbone,20,15,0.1159719371383888
SMP,Proposed + gate,0,1,0.195895790277708
SMP,Proposed + gate,0,2,0.21585952099022906
SMP,Proposed + gate,0,3,0.22089879039102303
SMP,Proposed + gate,0,4,0.24987396593590566
SMP,Proposed + gate,0,5,0.1986728555970871
SMP,Proposed + gate,0,6,0.18810657129154065
SMP,Proposed + gate,0,7,0.22816247657697233
SMP,Proposed + gate,0,8,0.22525733244880605
SMP,Proposed + gate,0,9,0.19763412788201426
SMP,Proposed + gate,0,10,0.22363354571587715
SMP,Proposed + gate,0,11,0.19629224635312095
SMP,Proposed + gate,0,12,0.23106391817724528
SMP,Proposed + gate,0,13,0.20374247939392195
SMP,Proposed + gate,0,14,0.23306708885932942
SMP,Proposed + gate,0,15,0.2098947475176486
SMP,Proposed + gate,5,1,0.17104597997099946
SMP,Proposed + gate,5,2,0.16317438746971036
SMP,Proposed + gate,5,3,0.14913313102731102
SMP,Proposed + gate,5,4,0.1758547550701844
SMP,Proposed + gate,5,5,0.1521462632167748
SMP,Proposed + gate,5,6,0.17472818010240737
SMP,Proposed + gate,5,7,0.16720734963249415
SMP,Proposed + gate,5,8,0.17180993034880238
SMP,Proposed + gate,5,9,0.16910856912697975
SMP,Proposed + gate,5,10,0.15651581942939452
SMP,Proposed + gate,5,11,0.15635626121837742
SMP,Proposed + gate,5,12,0.15924487543028723
SMP,Proposed + gate,5,13,0.15697162321104038
SMP,Proposed + gate,5,14,0.16568131705932512
SMP,Proposed + gate,5,15,0.16068755479591432
SMP,Proposed + gate,10,1,0.1361883915091993
SMP,Proposed + gate,10,2,0.13708478305501157
