split,method,run,hv
Split E,Proposed,6,0.8359507763651262
Split E,MF-SAEA,6,0.7825586067324724
Split E,Proposed,7,0.8659218455330159
Split E,MF-SAEA,7,0.8131043408110463
Split E,Proposed,8,0.8530106706529925
Split E,MF-SAEA,8,0.7937359306873953
Split E,Proposed,9,0.8425747879199917
Split E,MF-SAEA,9,0.7839324896900186
Split E,Proposed,10,0.855664659681866
Split E,MF-SAEA,10,0.7870230808841573
Split E,Proposed,11,0.8516600950406288
Split E,MF-SAEA,11,0.7820055431308738
Split E,Proposed,12,0.8647556143795616
Split E,MF-SAEA,12,0.7938781453329483
Split E,Proposed,13,0.8543987020178803
Split E,MF-SAEA,13,0.7819244165839712
Split E,Proposed,14,0.8460894848875681
Split E,MF-SAEA,14,0.8027014919142084
Split E,Proposed,15,0.8482028791762519
Split E,MF-SAEA,15,0.80697670283307
