method,material,hv_mean,hv_sd,igd_mean,igd_sd,calls_mean,calls_sd,feasible_mean,feasible_sd
Proposed,Hydrogel,0.7846673757886216,0.01003023141574489,0.10059133211925532,0.0064013142622591284,60.333333333333336,3.49829890633937,0.9352868744449224,0.011356228536641387
Proposed,LCE,0.8747546798258097,0.011895203718014433,0.0579702443399883,0.008217578852507063,58.4,2.947153590452029,0.9476286864754945,0.010033126073905396
Proposed,MRC,0.853383865674561,0.012296367084181805,0.06832432391293934,0.007976387110401599,60.06666666666667,2.5203930154602774,0.9403830527340087,0.014492455275435795
Proposed,PRF,0.8483892152661083,0.01248106353816564,0.06756130745124549,0.006716188392023365,60.2,2.782598990666306,0.9416957235592541,0.008143198843979686
Proposed,SMP,0.8892433041604239,0.012585203183309045,0.04827839178197331,0.007625338687917815,57.266666666666666,2.576450123347089,0.955345596266022,0.009755235090373274
SF-SAEA,DEA,0.74957948719725,0.014081133276494205,0.1147402019221778,0.005958197962549115,88.93333333333334,1.7099150633319558,0.8733969226816917,0.009675158299051394
SF-SAEA,Hydrogel,0.7171463113053149,0.017164206661764696,0.1299308882250613,0.009828362113468603,89.26666666666667,4.267261863247183,0.8686071644934449,0.007508667617223321
SF-SAEA,LCE,0.75792920094843,0.012067336093584362,0.10900019471284285,0.0073634698767525856,87.13333333333334,2.356349072692953,0.8702354051720167,0.01232420429615085
SF-SAEA,MRC,0.7372709076377647,0.013797580307825047,0.11939137163678432,0.004258513926913633,88.26666666666667,3.348062694981055,0.8657007321148387,0.015701413275182163
SF-SAEA,PRF,0.7287783744017539,0.011735327984472748,0.12387160441260843,0.00883864067591578,90.0,3.6839419880650355,0.8637710024816518,0.010622195790865013
SF-SAEA,SMP,0.7755108060029403,0.009945192092775475,0.10291122394007142,0.006577551054771076,85.06666666666666,3.594970031002974,0.8729975911875915,0.012566385739736445
SMS-EGO,DEA,0.717673011749717,0.007357606227696771,0.1276784171601539,0.006588749188774209,99.0,2.7774602993176556,0.833967847292988,0.009556139555867047
SMS-EGO,Hydrogel,0.6873692666671505,0.009204322575959004,0.14009243840258634,0.0065049085972858365,99.86666666666666,3.0906926331133215,0.8338037974276689,0.013149831914815288
SMS-EGO,LCE,0.7270363275613216,0.01258035580715071,0.12278733844102,0.0067580802119768645,97.93333333333334,4.182730937466346,0.8357841433776455,0.008324522846609186
SMS-EGO,MRC,0.708087533619851,0.010849440186019632,0.13209287823033894,0.007250283138612547,102.06666666666666,2.374467358818656,0.8359881325762473,0.013571788496379609
SMS-EGO,PRF,0.697462034211031,0.012474796814531851,0.13655590706994464,0.007239667367667138,101.06666666666666,3.1502078540644805,0.8347775189761771,0.008181832839158661
SMS-EGO,SMP,0.7435905354271188,0.009449268874096315,0.11680235496803647,0.006569811898237836,97.46666666666667,3.113717728895493,0.8373060319587287,0.012523138450409544
